id;nombre;razonSocial;nit
1;CORONA;DESPACHADORA INTERNACIONAL DE COLOMBIA SAS;860068121-6
2;FABRICATO;FABRICATO SA;890900308-4
3;CONCONCRETO;INDUSTRIAL CONCONCRETO SAS;890908901-9
4;MATECSA;MANUFACTURAS SAS;900078163-2
5;FAMILIA;PRODUCTOS FAMILIA SA;890900161-9
6;COMOLSA;COLOMBIANA DE MOLDEADOS SAS;890320250-7
7;ACEROS CORTADOS;ACEROS CORTADOS SAS;800189687-3
8;GALVACEROS;GALVACEROS SA;811005390-2
9;ALMASA;ALAMBRES Y MALLAS SA;860007668-1
11;CORETECH;CORE TECH COLOMBIA SAS;900435402-1
12;ABRACOL;ABRACOL SA;890911327-1
13;HACEB;INDUSTRIAS HACEB SA;890900281-4
14;LARCO;COMERCIAL Y SERVICIOS LARCO SAS;890930614-1
15;ANDERSON CONSTRUCCIONES;ANDERSON CONSTRUCCIONES DE COLOMBIA SAS                     ;900530020-6
16;CLIENTE PARTICULAR;CLIENTE PARTICULAR;111111111-1
18;HMV;HMV INGENIEROS LTDA;860000656-1
19;CONSORCIO CCC;CONSORCIO CCC ITUANGO;900551266-0
20;PERLAD;PERFILES Y LAMINADOS DECORATIVOS SAS;900169150-8
21;ATB;ATB RIVA CALZONI COLOMBIA;900360800-4
22;SARIA;SARIA SAS;811032954-0
24;GLEASON;EQUIPOS GLEASON SA;890903475-1
26;EFIAIRES;INGENIERIA EFICIENTE DEL AIRE SAS;900729224-8
27;MULTIGLOBAL;TRANSPORTADORA MULTIGLOBAL LTDA;832007178-2
28;MANOPLAS;METAL ACRILATO SA;811012912-6
29;ANTIOQUIA BOX;ANTIOQUIA BOX SAS ;901239011-7
30;CONSORCIO SSV;CONSORCIO SSV - 32 ;900914815-3
31;TKS;OPERADOR DE TRANSPORTE Y LOGISTICA TKS SA;900112213-8
33;PROFESIONALES EN GRUAS;PROFESIONALES EN GRUAS SAS;900718522-0
34;ACCESORIOS Y SISTEMAS;ACCESORIOS Y SISTEMAS SA;800042522-5
37;EKORED;EKO RED SAS;900589386-0
38;CONTENEDORES DE ANTIOQUIA;CONTENEDORES DE ANTIOQUIA SAS ;900167316-4
39;TRANSPORTES LOGICO;TRANSPORTES LOGICO SAS ;900520890-4
40;ISTHO;ISTHO SAS;901218382-4
41;ICVO;ICVO SAS                                                 ;890932892-1
43;MULTICERDOS;MULTICERDOS SAS     ;900407580-3
44;GRIALTEK;GRUPO DE INGENIERIA ARQUITECTURA Y TECNOLOGIA SAS;900382175-3
45;CENTRI - ES CENTURY;CENTURY PRODUCTS SAS;901172423-8
46;CONSUMIBLES INDUSTRIALES;CONSUMIBLES INDUSTRIALES SAS;900184012-2
47;LASMALLAS;GRUPO EMPRESARIAL LAS MALLAS SAS;890927428-7
48;TRANSLOGA;TRANSPORTE DE LOGISTICA ANDINA SA;900135893-5
49;DIAMONI;DIAMONI LOGISTICA SAS;811038578-1
50;CARITRANS;CARIBE DE TRANSPORTES SAS;890906878-8
51;SAN CARGA;SENCARGA SAS;860509011-8
52;TDM;T.D.M. TRANSPORTES SAS;890904488-1
53;MICROMINERALES;MICROMINERALES SAS;811013992-1
54;COCACOLA;FUNDACION COCA-COLA COLOMBIA EN LIQUIDACION;900560727-2
56;BARY ;NUTRIMENTI DE COLOMBIA SAS;800090890-5
58;MCT;MCT SAS;830004861-4
59;ITL;INTERNACIONAL DE TRANSPORTE Y LOGISTICA I.T.L. SAS;901135574-4
60;VIMO;CONSTRUVIMO LTDA;900107382-4
61;COOTRAUNICOL;COOPERATIVA DE TRANSPORTADORES UNIDOS DE COLOMBIA ;811045741-5
62;FORZACARGO;TRANSPORTES FORZAKARGO SAS;830506874-4
63;GYH;TRANSPORTES G & H SAS;900205125-8
64;SERVITRANSA;SERVICIO INTEGRAL DE TRANSPORTE ANDINO SA;800221333-8
65;OPL;OPERADORES LOGISTICOS DE CARGA SAS - OPL CARGA;900068426-1
66;CONALCA;COMPANIA NACIONAL DE CARGA CONALCA SAS;900416879-8
67;RG;TRANSPORTES R.G. SA;800070196-6
68;DITRANSA;COMPANIA DE DISTRIBUCION Y TRANSPORTE SA DITRANSA;800242427-1
69;BOTERO SOTO;EDUARDO BOTERO SOTO SA;890901321-5
72;CARGRANEL;INTEGRAL DE CARGA CARGRANEL SAS;800038129-8
73;ECL;EMPRESA COLOMBIANA DE LOGISTICA SAS;900542491-3
76;TRANSMEBA;TRANSMEBA CARGA SAS;900482114-3
77;HUMADEA;TRANSPORTES HUMADEA SAS;830096376-7
78;TRANSAPEC;TRANSPORTES APERTURA ECONOMICA SAS;800113618-9
79;EMECON;EMECON S.A. EN REORGANIZACION;800125980-2
80;LOGISTICA TOTAL;LOGISTICA TOTAL SAS;830108355-6
81;SERFLETAR;SERFLETAR SAS;811002645-1
83;CARGAFACIL;CARGA FACIL SAS;900738114-4
84;SAC LOGISTICA;SAC LOGISTICA SAS;901177272-5
85;ALTERNATIVA LOGISTICA;ALTERNATIVA LOGISTICA SAS;900126903-2
87;GOLDEN;TRANSPORTE GOLDEN DE COLOMBIA SAS;900819839-3
88;TGB;LOGISTICA Y TRANSPORTES TGB SAS;811001497-3
90;SIMARITIMA;SERVICIOS INTEGRALES MARITIMOS SAS;900394396-6
91;NOVATECH;NOVATECH IM SAS;900697936-4
92;TRANSLIDER;TRANSPORTADORA LIDER SA LIQUIDADA;811042053-2
93;CONECIL;CONECIL CONTRATISTAS SAS;900397565-8
94;SCALA;SCALA INGENIEROS SAS;900138447-7
95;COCOCARGA;TRANSPORTES COCOCARGA LTDA;900332934-3
96;SETCARGA;SERVICIO ESPECIALIZADOS DE TRANSPORTES DE CARGA Y TURISMO SAS;900748000-6
97;LINKCARGA;LINKARGA SAS;900132109-5
98;CLC;COMPANIA LOGISTICA COLOMBIANA SAS;811022799-2
99;CJ TEXTILES;CJ TEXTILES SAS;890923200-7
100;JOALCO;TRANSPORTES JOALCO SA;860450987-4
101;OPTIMO EXPRESS;TRANSPORTE OPTIMO EXPRESS SAS;901301328-0
