id;tipo;idVehiculo;idConductor
1;SENCILLO;0;0
2;MINI MULA;0;0
3;SENCILLO ESTACAS;0;0
4;TURBO LARGA ESTACAS;0;0
5;SENCILLO PLANCHA;0;0
6;TURBO ESTACAS;0;0
7;TRACTOMULA ESTACAS;0;0
8;CAMIONETA ESTACAS;0;0
10;MINI MULA EN GRILLO ;0;0
11;TURBO FURGON;0;0
12;TRACTOMULA PLANCHA;0;0
13;DOBLETROQUE EN PLANCHA;0;0
14;MINI MULA ESTACAS;0;0
15;TURBO LARGA FURGON;0;0
16;TRACTOMULA EN PLANCHA;0;0
17;MINI MULA EN PLANCHA;0;0
18;NHR ESTACAS;0;0
19;PODEROSA GRILLO;0;0
20;PODEROSA ESTACAS;0;0
21;TURBO FURGON ;0;0
22;SENCILLO EN PLANCHA;0;0
23;TRACTOMULA CAMABAJA;0;0
24;GRUA PLANCHON ;0;0
25;SENCILLO EN CORRAL ;0;0
