id;placa;tipo
1;SLP320;PROPIO
2;STD976;PROPIO
3;TRJ419;PROPIO
4;STE214;PROPIO
5;SND014;TERCERO
6;TAD578;TERCERO
7;SMG045;PROPIO
8;STE176;PROPIO
9;STE177;PROPIO
10;TMZ724;PROPIO
11;STY015;TERCERO
12;TMZ728;PROPIO
13;TMX466;PROPIO
14;TMV128;PROPIO
15;TEK888;PROPIO
16;TRI703;PROPIO
17;TMZ466;PROPIO
18;SMG088;PROPIO
19;STE402;PROPIO
20;STE399;PROPIO
21;TEK630;PROPIO
22;SMG102;PROPIO
23;WLX059;TERCERO
24;STE414;PROPIO
25;SMG107;PROPIO
26;SAW364;PROPIO
27;STD843;PROPIO
28;TNF791;PROPIO
29;TRI751;PROPIO
30; SMG088;PROPIO
31;USC602;TERCERO
32;WZH969;TERCERO
33;ESR015;TERCERO
34;CAC890;TERCERO
35;SZO674;TERCERO
36;TEW081;TERCERO
37;XEJ070;TERCERO
38;OAJ529;TERCERO
39;SRP301;TERCERO
40;CSK876;TERCERO
41;SNM616;TERCERO
42;WZE355;TERCERO
43;EYK485;TERCERO
44;EQT558;TERCERO
45;SNS846;TERCERO
46;STD817;TERCERO
47;SLP280;TERCERO
48;STE375;TERCERO
49;TTG623;TERCERO
50;JKU090;TERCERO
51;TLZ287;TERCERO
52;XID077;TERCERO
53;SNH209;TERCERO
54;SXY739;TERCERO
55;SPL280;TERCERO
56;WFG898;TERCERO
57;WLN450;TERCERO
58;WGV505;TERCERO
59;WOU696;TERCERO
60;WBB536;TERCERO
61;STD920;TERCERO
62;SNU513;TERCERO
63;TGT875;TERCERO
64;TJA500;TERCERO
65;SKZ479;TERCERO
66;SNY142;TERCERO
67;WMA777;TERCERO
68;SWN581;TERCERO
69;WBF937;TERCERO
70;SVE761;TERCERO
71;SVO061;TERCERO
72;SRO261;TERCERO
73;SRJ618;TERCERO
74;TGK110;TERCERO
75;JOU382;TERCERO
76;TEO348;TERCERO
77;VXI962;TERCERO
78;TKE639;TERCERO
79;SNM858;TERCERO
80;SXV957;TERCERO
81;FSU446;TERCERO
82;SRM981;TERCERO
83;TMV717;TERCERO
84;GET979;TERCERO
85;VAK240;TERCERO
86;TMY007;TERCERO
87;SVO254;TERCERO
88;UFW030;TERCERO
89;XJA628;TERCERO
90;TMY242;TERCERO
91;ESP886;TERCERO
92;FSU338;TERCERO
93;SNM617;TERCERO
94;TGA196;TERCERO
95;SZQ801;TERCERO
96;WPR690;TERCERO
97;GDX701;TERCERO
98;UTU643;TERCERO
99;TOP200;TERCERO
100;SOA654;TERCERO
101;SNY238;TERCERO
102;TRI706;TERCERO
103;TPW947;TERCERO
104;FST683;TERCERO
